narration_id,narration,verb_class,noun_classes,verb,nouns
P03_101_154,put sponge on counter,1,"[9, 42]",put-on,"['sponge', 'counter']"
P03_101_156,wipe counter down,2,[42],wipe,['counter']
P03_101_157,rinse out sponge,2,[9],rinse-out,['sponge']
P03_101_161,pour out washing up bowl,9,[7],pour-out,['bowl:washing:up']
P03_101_163,wipe bottom of sink,2,[63],wipe,['bottom:sink']
P03_101_165,wipe bottom of washing up bowl,2,[7],wipe,['bowl:washing:up']
P03_101_170,wash washing up bowl,2,[7],wash,['bowl:washing:up']
P03_101_171,place washing up bowl,1,[7],place,['bowl:washing:up']
P03_101_174,pull out plug,31,[153],pull-out,['plug']
P03_101_18,place grater in cupboard,5,"[96, 3]",place-in,"['grater', 'cupboard']"
P03_101_186,pick up sink strainer,0,[39],pick-up,['strainer:sink']
P03_101_187,pick up food,0,[34],pick-up,['food']
P03_101_189,move bin,11,[36],move,['bin']
P03_101_190,pick up bin lid,0,[6],pick-up,['lid:bin']
P03_101_191,empty sink strainer,20,[39],empty,['strainer:sink']
P03_101_192,tap sink strainer against side of bin,32,"[39, 36]",tap,"['strainer:sink', 'side:bin']"
P03_101_193,put lid back on bin,1,"[6, 36]",put-on,"['lid', 'bin']"
P03_101_196,rinse sink strainer,2,[39],rinse,['strainer:sink']
P03_101_197,put down sink strainer in sink,1,"[39, 63]",put-down,"['strainer:sink', 'sink']"
P03_101_2,shake slotted spoon and cutlery,15,"[1, 58]",shake,"['spoon:slotted', 'cutlery']"
P03_101_204,pick up washing up bowl,0,[7],pick-up,['bowl:washing:up']
P03_101_205,put down washing up bowl in sink,1,"[7, 63]",put-down,"['bowl:washing:up', 'sink']"
P03_101_208,put food bits in bin,5,"[34, 36]",put-in,"['bit:food', 'bin']"
P03_101_209,empty sink strainer in bin,20,"[39, 36]",empty,"['strainer:sink', 'bin']"
P03_101_21,place lid on tupperware,1,"[6, 23]",place-on,"['lid', 'tupperware']"
P03_101_210,put sink strainer in sink,5,"[39, 63]",put-in,"['strainer:sink', 'sink']"
P03_101_216,wipe down surface,2,[42],wipe-down,['surface']
P03_101_219,take out plate,12,[2],take-out,['plate']
P03_101_225,pick up butter and cheese,0,"[78, 32]",pick-up,"['butter', 'cheese']"
P03_101_227,put down butter and cheese,1,"[78, 32]",put-down,"['butter', 'cheese']"
P03_101_230,open bread,3,[33],open,['bread']
P03_101_231,take two slices of bread,0,[33],take,['slice:bread']
P03_101_232,put slices of bread on plate,1,"[33, 2]",put-on,"['slice:bread', 'plate']"
P03_101_236,pick up bread packet,0,[26],pick-up,['packet:bread']
P03_101_237,twist bread packet,78,[26],twist,['packet:bread']
P03_101_240,tie knot in bread packet,36,"[204, 26]",tie-in,"['knot', 'packet:bread']"
P03_101_242,put bread in fridge,5,"[33, 12]",put-in,"['bread', 'fridge']"
P03_101_248,pick up film,0,[100],pick-up,['film']
P03_101_249,put down film,1,[100],put-down,['film']
P03_101_25,put bowl in cupboard,5,"[7, 3]",put-in,"['bowl', 'cupboard']"
P03_101_250,move butter,11,[78],move,['butter']
P03_101_251,spread butter onto knife,27,"[78, 4]",spread-onto,"['butter', 'knife']"
P03_101_253,spread butter onto bread,27,"[78, 33]",spread-onto,"['butter', 'bread']"
P03_101_256,scrape off excess butter,25,[78],scrape-off,['butter:excess']
P03_101_258,put film back on butter,1,"[100, 78]",put-on,"['film', 'butter']"
P03_101_259,pick up butter lid,0,[6],pick-up,['lid:butter']
P03_101_261,pick up cheese packet,0,[26],pick-up,['packet:cheese']
P03_101_262,open cheese packet,3,[26],open,['packet:cheese']
P03_101_263,get cheese out of packet,12,"[32, 26]",get-out,"['cheese', 'packet']"
P03_101_266,cut cheese into slices,7,[32],cut-into,['cheese']
P03_101_268,put slice on bread,1,[33],put-on,['bread']
P03_101_269,cut cheese into slice,7,[32],cut-into,['cheese']
P03_101_270,move around cheese,11,[32],move-around,['cheese']
P03_101_271,cut slice off cheese,7,[32],cut-off,['cheese']
P03_101_272,put cheese slice onto bread,1,"[32, 33]",put-onto,"['slice:cheese', 'bread']"
P03_101_275,pick up butter bit,0,[78],pick-up,['bit:butter']
P03_101_276,open sandwich,3,[164],open,['sandwich']
P03_101_278,cut sandwich into halves,7,[164],cut-into,['sandwich']
P03_101_282,put cheese into cheese packet,5,"[32, 26]",put-into,"['cheese', 'packet:cheese']"
P03_101_283,seal cheese packet,36,[26],seal,['packet:cheese']
P03_101_284,put down cheese packet,1,[26],put-down,['packet:cheese']
P03_101_285,seal last bit of cheese packet,36,[26],seal,['bit:cheese:packet']
P03_101_288,put cheese and butter into fridge,5,"[32, 78, 12]",put-into,"['cheese', 'butter', 'fridge']"
P03_101_289,stack sandwiches,40,[164],stack,['sandwich']
P03_101_291,take tupperware,0,[23],take,['tupperware']
P03_101_295,put sandwiches in tupperware,5,"[164, 23]",put-in,"['sandwich', 'tupperware']"
P03_101_297,pick up crisps,0,[229],pick-up,['crisp']
P03_101_298,pour crisp packet into tupperware,9,"[26, 23]",pour-into,"['packet:crisp', 'tupperware']"
P03_101_299,put empty crisp packet in bin,5,"[26, 36]",put-in,"['packet:crisp', 'bin']"
P03_101_3,place slotted spoon and fork,1,"[1, 14]",place,"['spoon:slotted', 'fork']"
P03_101_301,close lid of tupperware,4,[6],close,['lid:tupperware']
P03_101_302,pick up plate and knife,0,"[2, 4]",pick-up,"['plate', 'knife']"
P03_101_303,put down plate and knife,1,"[2, 4]",put-down,"['plate', 'knife']"
P03_101_305,check clothes,24,[73],check,['clothes']
P03_101_306,remove shorts,12,[73],remove,['short']
P03_101_307,put shorts on drying rack,1,"[73, 110]",put-on,"['short', 'rack:drying']"
P03_101_309,remove jeans,12,[73],remove,['jean']
P03_101_31,place tupperware in cupboard,5,"[23, 3]",place-in,"['tupperware', 'cupboard']"
P03_101_310,pick up washing up liquid cap,0,[118],pick-up,['cap:liquid']
P03_101_311,put down washing up liquid cap,1,[118],put-down,['cap:liquid']
P03_101_312,unfurl jeans,39,[73],unfurl,['jean']
P03_101_313,put jeans on drying rack,1,"[73, 110]",put-on,"['jean', 'rack:drying']"
P03_101_314,check washing,24,[73],check,['washing']
P03_101_315,check tag of washing,24,[73],check,['tag:washing']
P03_101_316,remove cardigan,12,[73],remove,['cardigan']
P03_101_319,unfurl top,39,[42],unfurl,['top']
P03_101_320,put top on drying rack,1,"[42, 110]",put-on,"['top', 'rack:drying']"
P03_101_321,unfurl cardigan,39,[73],unfurl,['cardigan']
P03_101_322,put cardigan on drying rack,1,"[73, 110]",put-on,"['cardigan', 'rack:drying']"
P03_101_324,pick up top,0,[42],pick-up,['top']
P03_101_325,check tops tag,24,[73],check,['tag:top']
P03_101_327,pick up sock,0,[73],pick-up,['sock']
P03_101_330,check tag,24,[73],check,['tag']
P03_101_331,remove top from washing machine,12,"[42, 124]",remove-from,"['top', 'machine:washing']"
P03_101_333,remove washing from washing machine,12,[124],remove,['machine:washing']
P03_101_334,put washing back into washing machine,1,[124],put,['machine:washing']
P03_101_335,remove sock,12,[73],remove,['sock']
P03_101_337,spin drum,23,[57],spin,['drum']
P03_101_340,set washing machine to dry,53,[124],set,['machine:washing']
P03_101_342,put sock on drying rack,1,"[73, 110]",put-on,"['sock', 'rack:drying']"
P03_101_343,drop sock,59,[73],drop,['sock']
P03_101_345,move sock,11,[73],move,['sock']
P03_101_43,place cooking utensils in drawer,5,"[154, 8]",place-in,"['utensil:cooking', 'drawer']"
P03_101_50,place bowl in cupboard,5,"[7, 3]",place-in,"['bowl', 'cupboard']"
P03_101_53,put knife and fork in bowl,5,"[4, 14, 7]",put-in,"['knife', 'fork', 'bowl']"
P03_101_54,pick up fork and slotted spoon,0,"[14, 1]",pick-up,"['fork', 'spoon:slotted']"
P03_101_55,put fork in bowl,5,"[14, 7]",put-in,"['fork', 'bowl']"
P03_101_58,rinse out saucepan,2,[5],rinse-out,['saucepan']
P03_101_59,rinse out slotted spoon,2,[1],rinse-out,['spoon:slotted']
P03_101_6,pour out water from bowl,9,"[27, 7]",pour-out,"['water', 'bowl']"
P03_101_62,squeeze washing up liquid into saucepan,18,"[22, 5]",squeeze,"['liquid:washing:up', 'saucepan']"
P03_101_63,continue filling saucepan,26,[5],fill,['saucepan']
P03_101_67,move towel rack,11,[52],move,['towel']
P03_101_69,move rice container,11,[21],move,['container:rice']
P03_101_70,put packaging in bin,5,"[26, 36]",put-in,"['packaging', 'bin']"
P03_101_73,fill saucepan with water,26,"[5, 27]",fill-with,"['saucepan', 'water']"
P03_101_76,put washing up liquid down,1,[22],put,['liquid:washing:up']
P03_101_78,put saucepan on counter,1,"[5, 42]",put-on,"['saucepan', 'counter']"
P03_101_82,put slotted spoon on drying rack,1,"[1, 110]",put-on,"['spoon:slotted', 'rack:drying']"
P03_101_84,soak spoon,56,[1],soak,['spoon']
P03_101_87,place plate into drying rack,5,"[2, 110]",place-into,"['plate', 'rack:drying']"
P03_101_9,squeeze washing up liquid into bowl,18,"[22, 7]",squeeze,"['liquid:washing:up', 'bowl']"
P03_101_90,place plate on drying rack,1,"[2, 110]",place-on,"['plate', 'rack:drying']"
P03_101_92,soak knife,56,[4],soak,['knife']
P03_101_97,put spoon in drying rack,5,"[1, 110]",put-in,"['spoon', 'rack:drying']"
P03_101_99,wash scissors,2,[79],wash,['scissors']
P03_102_0,put bags on side,1,"[19, 42]",put-on,"['bag', 'side']"
P03_102_11,put onion on counter,1,"[16, 42]",put-on,"['onion', 'counter']"
P03_102_12,put bag on counter,1,"[19, 42]",put-on,"['bag', 'counter']"
P03_102_13,open up bag,3,[19],open-up,['bag']
P03_102_14,pick up mince,0,[28],pick-up,['mince']
P03_102_15,put mince on counter,1,"[28, 42]",put-on,"['mince', 'counter']"
P03_102_16,pick up cans,0,[61],pick-up,['can']
P03_102_17,put can on counter,1,[42],put-on,['counter']
P03_102_2,take out peppers,12,[37],take-out,['pepper']
P03_102_24,pick up cans of kidney beans,0,[61],pick-up,['can:kidney:bean']
P03_102_25,move can of tomatoes,11,[43],move,['tomato']
P03_102_27,move chocolate and baked beans,11,"[188, 214]",move,"['chocolate', 'bean:baked']"
P03_102_28,put can of kidney beans into cupboard,1,"[214, 3]",put-of,"['bean:kidney', 'cupboard']"
P03_102_29,pick up cans of soup from cupboard,0,"[61, 3]",pick-up,"['can:soup', 'cupboard']"
P03_102_30,move cupboard contents,11,[3],move,['content:cupboard']
P03_102_31,put soup cans back in cupboard,5,"[61, 3]",put-in,"['can:soup', 'cupboard']"
P03_102_33,move cans,11,[61],move,['can']
P03_102_34,pick up cans of tomatoes,0,[61],pick-up,['can:tomato']
P03_102_35,pick up can of chickpeas,0,[177],pick-up,['chickpea']
P03_102_36,put can of chickpeas in cupboard,1,"[177, 3]",put-of,"['chickpea', 'cupboard']"
P03_102_37,put can of tomatoes in cupboard,1,"[43, 3]",put-of,"['tomato', 'cupboard']"
P03_102_38,stack can of tomatoes,40,[43],stack,['tomato']
P03_102_4,put cans inside,1,[61],put,['can']
P03_102_44,put cheese on shelf,1,"[32, 247]",put-on,"['cheese', 'shelf']"
P03_102_46,put mince in fridge,5,"[28, 12]",put-in,"['mince', 'fridge']"
P03_102_47,pick up onions,0,[16],pick-up,['onion']
P03_102_48,pick up peppers,0,[37],pick-up,['pepper']
P03_102_49,pull out vegetable drawer,31,[8],pull-out,['drawer:vegetable']
P03_102_50,put onions in drawer,5,"[16, 8]",put-in,"['onion', 'drawer']"
P03_102_51,put peppers in drawer,5,"[37, 8]",put-in,"['pepper', 'drawer']"
P03_102_53,put butter onto shelf,1,"[78, 247]",put-onto,"['butter', 'shelf']"
P03_102_54,push in vegetable drawer,5,[8],push-in,['drawer:vegetable']
P03_102_59,rinse out washing up bowl,2,[7],rinse-out,['bowl:washing:up']
P03_102_67,put down saucepan lid,1,[6],put-down,['lid:saucepan']
P03_102_8,put eggs on counter,1,"[53, 42]",put-on,"['egg', 'counter']"
P03_102_80,close vegetable drawer,4,[8],close,['drawer:vegetable']
P03_102_82,put down peppers,1,[37],put-down,['pepper']
P03_102_9,put onions on counter,1,"[16, 42]",put-on,"['onion', 'counter']"
P03_106_13,put on wrapper,1,[26],put-on,['wrapper']
P03_106_14,strain water from raspberry punnet,37,"[27, 284]",strain-from,"['water', 'punnet:raspberry']"
P03_106_15,remove film lid,12,[6],remove,['lid:film']
P03_106_18,pour raspberries into bowl,9,"[284, 7]",pour-into,"['raspberry', 'bowl']"
P03_106_19,remove film lid from punnet,12,"[6, 26]",remove-from,"['lid:film', 'punnet']"
P03_106_2,move strawberries,11,[243],move,['strawberry']
P03_106_20,put film lid in bin,5,"[6, 36]",put-in,"['lid:film', 'bin']"
P03_106_21,remove sponge from punnet,12,"[9, 26]",remove,"['sponge', 'punnet']"
P03_106_22,put sponge in bin,5,"[9, 36]",put-in,"['sponge', 'bin']"
P03_106_23,put punnet on side,1,"[26, 42]",put-on,"['punnet', 'side']"
P03_106_24,pick up raspberry bowl,0,[7],pick-up,['bowl:raspberry']
P03_106_26,pick up kitkat,0,[188],pick-up,['kitkat']
P03_106_27,pick up chocolate bars,0,[265],pick-up,['bar:chocolate']
P03_106_28,pick up leaf,0,[62],pick-up,['leaf']
P03_106_29,put leaf in bin,5,"[62, 36]",put-in,"['leaf', 'bin']"
P03_106_3,pick up raspberries,0,[284],pick-up,['raspberry']
P03_106_5,open punnet of raspberries,3,[284],open,['punnet:raspberry']
P03_106_7,wash raspberries,2,[284],wash,['raspberry']
P03_107_1,pour out water from bottle,9,"[27, 15]",pour-out,"['water', 'bottle']"
P03_107_101,put down sieve and pan,1,"[39, 5]",put-down,"['sieve', 'pan']"
P03_107_103,put bowl on plate,1,"[7, 2]",put-on,"['bowl', 'plate']"
P03_107_104,move measuring jug,11,[66],move,['jug:measuring']
P03_107_105,put bowl and plate down,1,[7],put,['bowl']
P03_107_107,put lid on pan,1,"[6, 5]",put-on,"['lid', 'pan']"
P03_107_26,move around tupperware,11,[23],move-around,['tupperware']
P03_107_28,pick up ladle,0,[97],pick-up,['ladle']
P03_107_37,spoon chilli into tupperware,16,"[69, 23]",spoon-into,"['chilli', 'tupperware']"
P03_107_39,pick up tupperware lid,0,[6],pick-up,['lid:tupperware']
P03_107_4,put lid on bottle,1,"[6, 15]",put-on,"['lid', 'bottle']"
P03_107_40,seal tupperware,36,[23],seal,['tupperware']
P03_107_43,take off lid of tupperware,12,[6],take-off,['lid:tupperware']
P03_107_46,stir chilli,10,[69],stir,['chilli']
P03_107_47,tap ladle against side of pan,32,"[97, 5]",tap-against,"['ladle', 'side:pan']"
P03_107_49,put lid on tupperware,1,"[6, 23]",put-on,"['lid', 'tupperware']"
P03_107_51,put tupperware in cupboard,5,"[23, 3]",put-in,"['tupperware', 'cupboard']"
P03_107_55,pull out freezer drawer,31,[8],pull-out,['drawer:freezer']
P03_107_56,close freezer drawer,4,[8],close,['drawer:freezer']
P03_107_58,put tupperware in freezer,5,"[23, 113]",put-in,"['tupperware', 'freezer']"
P03_107_63,move saucepan lid,11,[6],move,['lid:saucepan']
P03_107_77,put tupperware full of chilli in fridge,5,"[23, 69, 12]",put-in,"['tupperware', 'chilli', 'fridge']"
P03_107_80,put washing up liquid into pan,5,"[22, 5]",put-into,"['liquid:washing:up', 'pan']"
P03_107_81,put washing up liquid on side,1,"[22, 42]",put,"['liquid:washing:up', 'side']"
P03_107_86,shake off spoon,15,[1],shake-off,['spoon']
P03_107_87,put spoon on cutting board,1,"[1, 18]",put-on,"['spoon', 'board:cutting']"
P03_107_89,fill up pan with water,26,"[5, 27]",fill-up,"['pan', 'water']"
P03_107_90,turn on tap more,6,[0],turn-on,['tap']
P03_107_94,pick up plates and knives and forks,0,"[2, 4, 14]",pick-up,"['plate', 'knife', 'fork']"
P03_107_96,put lid on cutting board,1,"[6, 18]",put-on,"['lid', 'board:cutting']"
P03_107_98,put plates and knives and forks on plate,1,"[2, 4, 14, 2]",put-on,"['plate', 'knife', 'fork', 'plate']"
P03_107_99,pick up sieve and pan,0,[39],pick-up,['sieve']
P03_108_10,pour squash into glass,9,"[116, 10]",pour-into,"['squash', 'glass']"
P03_108_13,put squash in fridge,5,"[116, 12]",put-in,"['squash', 'fridge']"
P03_108_2,rinse out glass,2,[10],rinse-out,['glass']
P03_108_5,put glass on side,1,"[10, 42]",put-on,"['glass', 'side']"
P03_109_100,put sieve in drying rack,1,[110],put,['rack:drying']
P03_109_103,pour out saucepan,9,[5],pour-out,['saucepan']
P03_109_108,remove food from sponge,12,"[34, 9]",remove-from,"['food', 'sponge']"
P03_109_112,move sieve,11,[39],move,['sieve']
P03_109_113,put saucepan on drying rack,1,"[5, 110]",put-on,"['saucepan', 'rack:drying']"
P03_109_114,put down sieve,1,[39],put-down,['sieve']
P03_109_117,take tea towel from drying rack,0,"[52, 110]",take-from,"['towel:tea', 'rack:drying']"
P03_109_120,put saucepan in cupboard,5,"[5, 3]",put-in,"['saucepan', 'cupboard']"
P03_109_122,hang up tea towel,41,[52],hang-up,['towel:tea']
P03_109_127,lift up saucepan,33,[5],lift-up,['saucepan']
P03_109_132,pick up cheese grater,0,[96],pick-up,['grater:cheese']
P03_109_133,put cheese grater in washing up bowl,5,"[96, 7]",put-in,"['grater:cheese', 'bowl:washing:up']"
P03_109_136,put cup on drying rack,1,"[13, 110]",put-on,"['cup', 'rack:drying']"
P03_109_139,put bowl in drying rack,5,"[7, 110]",put-in,"['bowl', 'rack:drying']"
P03_109_140,pick up saucer,0,[2],pick-up,['saucer']
P03_109_141,pick up washing up brush,0,[103],pick-up,['brush:washing:up']
P03_109_142,shake off washing up brush,15,[103],shake-off,['brush:washing:up']
P03_109_143,put down washing up brush,1,[103],put-down,['brush:washing:up']
P03_109_144,wash saucer,2,[2],wash,['saucer']
P03_109_145,put saucer on drying rack,1,"[2, 110]",put-on,"['saucer', 'rack:drying']"
P03_109_146,scrub down side,29,[42],scrub-down,['side']
P03_109_149,put saucepan lid on drying rack,1,"[6, 110]",put-on,"['lid:saucepan', 'rack:drying']"
P03_109_165,put sponge away,1,[9],put,['sponge']
P03_109_167,dry cutting board,14,[18],dry,['board:cutting']
P03_109_181,move strainer,11,[39],move,['strainer']
P03_109_183,put back tea towel on rack,1,"[52, 110]",put-back,"['towel:tea', 'rack']"
P03_109_185,pick up measuring jug,0,[66],pick-up,['jug:measuring']
P03_109_186,pour out spoon from measuring jug,9,"[1, 66]",pour-out,"['spoon', 'jug:measuring']"
P03_109_187,put down measuring jug,1,[66],put-down,['jug:measuring']
P03_109_195,put glass on drying up rack,1,"[10, 110]",put-on,"['glass', 'rack']"
P03_109_20,pour out water from saucepan,9,"[27, 5]",pour-out,"['water', 'saucepan']"
P03_109_200,put knife on drying rack,1,"[4, 110]",put-on,"['knife', 'rack:drying']"
P03_109_204,wash can opener,2,[174],wash,['opener:can']
P03_109_205,put can opener in drying rack,1,"[174, 110]",put,"['opener:can', 'rack:drying']"
P03_109_207,wash cheese grater,2,[96],wash,['grater:cheese']
P03_109_208,rinse cheese grater,2,[96],rinse,['grater:cheese']
P03_109_210,remove cheese from cheese grater,12,"[32, 96]",remove-from,"['cheese', 'grater:cheese']"
P03_109_214,put cheese grater in drying rack,5,"[96, 110]",put-in,"['grater:cheese', 'rack:drying']"
P03_109_216,wash measuring jug,2,[66],wash,['jug:measuring']
P03_109_218,put measuring jug on drying rack,1,"[66, 110]",put,"['jug:measuring', 'rack:drying']"
P03_109_222,wash knife and spoon,2,"[4, 1]",wash,"['knife', 'spoon']"
P03_109_223,put knife and spoon in drying rack,1,"[4, 1, 110]",put,"['knife', 'spoon', 'rack:drying']"
P03_109_239,lift up washing up bowl,33,[7],lift-up,['bowl:washing:up']
P03_109_240,pour washing up bowl into sink,9,"[7, 63]",pour,"['bowl:washing:up', 'sink']"
P03_109_241,put down washing up bowl,1,[7],put-down,['bowl:washing:up']
P03_109_244,wipe side,2,[42],wipe,['side']
P03_109_245,put bits in bin,5,[36],put-in,['bin']
P03_109_246,wipe around sink,2,[63],wipe-around,['sink']
P03_109_250,wet sponge,62,[9],wet,['sponge']
P03_109_255,wash around sink,2,[63],wash-around,['sink']
P03_109_261,rinse washing up bowl,2,[7],rinse,['bowl:washing:up']
P03_109_269,put contents of sink strainer in bin,1,"[54, 36]",put,"['content:sink:strainer', 'bin']"
P03_109_27,increase flow of tap,70,[0],increase,['flow:tap']
P03_109_271,put down bin lid,1,[6],put-down,['lid:bin']
P03_109_275,put sink strainer back in sink,5,"[39, 63]",put-in,"['strainer:sink', 'sink']"
P03_109_278,remove lid from bin,12,"[6, 36]",remove-from,"['lid', 'bin']"
P03_109_279,empty sink strainer into bin,20,"[39, 36]",empty,"['strainer:sink', 'bin']"
P03_109_28,pick up sieve,0,[39],pick-up,['sieve']
P03_109_282,put food bit in bin,5,"[34, 36]",put-in,"['bit:food', 'bin']"
P03_109_283,put bin lid back on bin,1,"[6, 36]",put-on,"['lid', 'bin']"
P03_109_288,put washing up bowl back in sink,1,"[7, 63]",put,"['bowl:washing:up', 'sink']"
P03_109_299,take cheese,0,[32],take,['cheese']
P03_109_300,take butter,0,[78],take,['butter']
P03_109_306,take slices of bread from bread packet,0,[26],take-from,['slice:bread:packet']
P03_109_307,put down slices of bread,1,[33],put-down,['slice:bread']
P03_109_309,peel off film of butter,19,[100],peel-off,['film:butter']
P03_109_317,move slice of bread,11,[33],move,['slice:bread']
P03_109_323,slice butter onto knife,7,"[78, 4]",slice-onto,"['butter', 'knife']"
P03_109_329,put film onto butter,1,"[100, 78]",put-onto,"['film', 'butter']"
P03_109_336,take cheese from cheese packet,0,"[32, 26]",take-from,"['cheese', 'packet:cheese']"
P03_109_337,put down packet,1,[26],put-down,['packet']
P03_109_341,move slice of cheese to bread,11,"[32, 33]",move-to,"['slice:cheese', 'bread']"
P03_109_344,pick up slice of bread,0,[33],pick-up,['slice:bread']
P03_109_345,create sandwich,1,[164],create,['sandwich']
P03_109_346,move sandwich to bottom of stack,11,[164],move-to,['sandwich']
P03_109_348,move slice to bread,11,[33],move-to,['bread']
P03_109_35,put knife in bowl,5,"[4, 7]",put-in,"['knife', 'bowl']"
P03_109_350,move cheese to bread,11,"[32, 33]",move-to,"['cheese', 'bread']"
P03_109_356,put cheese inside cheese packet,5,"[32, 26]",put-inside,"['cheese', 'packet:cheese']"
P03_109_357,close packet of cheese,4,[26],close,['packet:cheese']
P03_109_359,close final bit of cheese packet,4,[26],close,['bit:cheese:packet']
P03_109_362,tie bread closed,36,[33],tie,['bread']
P03_109_364,pick up cheese and butter,0,"[32, 78]",pick-up,"['cheese', 'butter']"
P03_109_367,put cheese and butter in fridge,5,"[32, 78, 12]",put-in,"['cheese', 'butter', 'fridge']"
P03_109_37,put cutlery in bowl,5,"[58, 7]",put-in,"['cutlery', 'bowl']"
P03_109_371,move stack of sandwiches,11,[164],move,['stack:sandwich']
P03_109_372,cut sandwiches in half,7,[164],cut-in,['sandwich']
P03_109_373,move sandwiches,11,[164],move,['sandwich']
P03_109_374,pick up bit of bread,0,[33],pick-up,['bit:bread']
P03_109_375,eat bread,35,[33],eat,['bread']
P03_109_378,pull out tupperware,31,[23],pull-out,['tupperware']
P03_109_379,move breakfast bars,11,[265],move,['bar:breakfast']
P03_109_380,put down breakfast bars,1,[265],put-down,['bar:breakfast']
P03_109_381,put lid back in cupboard,5,"[6, 3]",put-in,"['lid', 'cupboard']"
P03_109_382,pull out tupperware from other bit of tupperware,31,"[23, 23]",pull-out,"['tupperware', 'bit:tupperware']"
P03_109_385,take tupperware lid,0,[6],take,['lid:tupperware']
P03_109_386,put tupperware back in cupboard,5,"[23, 3]",put-in,"['tupperware', 'cupboard']"
P03_109_388,put down tupperware lid,1,[6],put-down,['lid:tupperware']
P03_109_392,lift up bag,33,[19],lift-up,['bag']
P03_109_393,take crisp packet,0,[26],take,['packet:crisp']
P03_109_394,open packet of crisps,3,[26],open,['packet:crisp']
P03_109_396,put crisps back in cupboard,5,"[229, 3]",put-in,"['crisp', 'cupboard']"
P03_109_398,put crisps in tupperware,5,"[229, 23]",put-in,"['crisp', 'tupperware']"
P03_109_399,put crisps on side,1,"[229, 42]",put-on,"['crisp', 'side']"
P03_109_404,lift up tupperware,33,[23],lift-up,['tupperware']
P03_109_407,put lid in cupboard,5,"[6, 3]",put-in,"['lid', 'cupboard']"
P03_109_408,take out tupperware lid,12,[6],take-out,['lid:tupperware']
P03_109_47,put ladle in drying rack,5,"[97, 110]",put-in,"['ladle', 'rack:drying']"
P03_109_5,fill washing up bowl with water,26,"[7, 27]",fill,"['bowl:washing:up', 'water']"
P03_109_56,put plate on drying rack,1,"[2, 110]",put-on,"['plate', 'rack:drying']"
P03_109_6,pour out water from washing up bowl,9,"[27, 7]",pour-out,"['water', 'bowl:washing:up']"
P03_109_61,put plate in drying rack,5,"[2, 110]",put-in,"['plate', 'rack:drying']"
P03_109_72,wash sieve,2,[39],wash,['sieve']
P03_109_74,wash sieve with brush,2,[103],wash,['brush']
P03_109_77,rinse sieve,2,[39],rinse,['sieve']
P03_109_79,clean sieve with washing up brush,2,[103],clean,['brush:washing:up']
P03_109_8,pick up food from strainer,0,"[34, 39]",pick-up,"['food', 'strainer']"
P03_109_85,wash sieve with sponge,2,[9],wash,['sponge']
P03_109_88,remove food from sieve,12,[34],remove-from,['food']
P03_109_92,scrape off food from sieve,25,[34],scrape-off,['food']
P03_109_96,scrape off food,25,[34],scrape-off,['food']
P03_109_99,shake off sieve,15,[39],shake-off,['sieve']
P03_10_0,place bag,1,[19],place,['bag']
P03_10_11,put bottle in bag,5,"[15, 19]",put-in,"['bottle', 'bag']"
P03_10_18,place butter,1,[78],place,['butter']
P03_10_2,grab pancakes,0,[184],grab,['pancake']
P03_10_29,grab juice,0,[183],grab,['juice']
P03_10_31,shake juice,15,[183],shake,['juice']
P03_10_32,open juice,3,[183],open,['juice']
P03_10_33,pour juice,9,[183],pour,['juice']
P03_10_35,close juice,4,[183],close,['juice']
P03_10_37,place juice,1,[183],place,['juice']
P03_10_39,pick up juice,0,[183],pick-up,['juice']
P03_10_4,take pancakes,0,[184],take,['pancake']
P03_10_40,place cup,1,[13],place,['cup']
P03_10_5,put pancakes in toaster,5,"[184, 186]",put-in,"['pancake', 'toaster']"
P03_10_6,turn toaster on,6,[186],turn-on,['toaster']
P03_10_8,put pancakes in fridge,5,"[184, 12]",put-in,"['pancake', 'fridge']"
P03_110_11,pick up knife and plate,0,"[4, 2]",pick-up,"['knife', 'plate']"
P03_110_12,put knife and plate on side,1,"[4, 2, 42]",put-on,"['knife', 'plate', 'side']"
P03_110_2,pick up crisp packet,0,[26],pick-up,['packet:crisp']
P03_110_3,put crisp packet in bin,5,"[26, 36]",put-in,"['packet:crisp', 'bin']"
P03_111_1,take chilli,0,[69],take,['chilli']
P03_111_10,open chilli,3,[69],open,['chilli']
P03_111_11,pick up chilli,0,[69],pick-up,['chilli']
P03_111_12,pour chilli into saucepan,9,"[69, 5]",pour-into,"['chilli', 'saucepan']"
P03_111_13,shake saucepan,15,[5],shake,['saucepan']
P03_111_16,rinse out tupperware,2,[23],rinse-out,['tupperware']
P03_111_17,pour out water from tupperware,9,"[27, 23]",pour-out,"['water', 'tupperware']"
P03_111_20,squeeze washing up liquid into tupperware,18,"[22, 23]",squeeze,"['liquid:washing:up', 'tupperware']"
P03_111_21,put washing up liquid back inside,1,[22],put,['liquid:washing:up']
P03_111_24,put down tupperware to soak,1,[23],put-down,['tupperware']
P03_111_3,put down chilli,1,[69],put-down,['chilli']
P03_111_31,take clothes from washing machine,0,"[73, 124]",take-from,"['clothes', 'machine:washing']"
P03_111_5,take saucepan from cupboard,0,"[5, 3]",take-from,"['saucepan', 'cupboard']"
P03_111_7,lift off lid,33,[6],lift-off,['lid']
